Added by Katie,ImportRange formula in cell B3,,,,,Added by Katie,,,,,,,,,0,0,0
,,,,,,,,PRODUCT MATERIAL & COMPONENT VALUES,,,Packaging only,,,,RESULTS FOR CHARTS,,
Category Assigned for selection list,Material category,Material name,Impact value (multiply),Impact value (add),Impact unit,Auto-list taken from column E,,Density value,Density unit,Unit weight (g),Manufacturing Process,,,,Baseline *Please Make a Copy Before Editing*,*Design 01*,*Design 02*
Metals,Metal - Steel,"SPCC  [Stamping, Bending]",0.003120, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"SPCC  [Stamping, Bending]",,,,
Metals,Metal - Steel,SPCC  [Turning],0.004220, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,SPCC  [Turning],,,,
Metals,Metal - Steel,Steel wire,0.002814, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,Steel wire,,,,
Metals,Metal - Steel,"Steel, Generic  [Deep Drawing]",0.005183, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"Steel, Generic  [Deep Drawing]",,,,
Metals,Metal - Steel,"Steel, Generic  [Stamping, Bending]",0.003453, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"Steel, Generic  [Stamping, Bending]",,,,
Metals,Metal - Steel,"Steel, Generic  [Turning]",0.004823, ,kgCO2e/g,g,TRUE,7.95,g/cm3,,,,"Steel, Generic  [Turning]",,,,
Plastics,Plastic - ABS,ABS,0.004392, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,ABS,,,,
Plastics,Plastic - ABS,35% PCR ABS,0.003385, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,35% PCR ABS,,,,
Plastics,Plastic - ABS,50% PCR ABS,0.002953, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,50% PCR ABS,,,,
Plastics,Plastic - ABS,65% PCR ABS,0.002521, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,65% PCR ABS,,,,
Plastics,Plastic - ABS,85% PCR ABS,0.001945, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,85% PCR ABS,,,,
Plastics,Plastic - ABS,95% PCR ABS,0.001658, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,95% PCR ABS,,,,
Plastics,Plastic - ABS,100% PCR ABS  (PCR>97%),0.001600, ,kgCO2e/g,g,TRUE,1.05,g/cm3,,,,100% PCR ABS  (PCR>97%),,,,
Plastics,Plastic - ABS,ABS (2% PET Fiber),0.004398, ,kgCO2e/g,g,TRUE,,,,,,ABS (2% PET Fiber),,,,
